COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Comoros,COM,AFRO,REPORTING,2022-10-02,835021,438825,96.023,50.463,397080,45.662,,2021-04-10,3,,
Cyprus,CYP,EURO,REPORTING,2023-09-03,1858978,669228,209.3,73.979,656138,72.525,,2020-12-23,5,487407,53.875
Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-06-04,18808671,17045721,21.001,19.032,14399520,16.078,,2021-04-19,1,,
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738,270109,34.836,19.252,214032,15.255,,2021-02-12,2,4597,0.328
Eritrea,ERI,AFRO,REPORTING,2022-07-03,,0,,0,0,0,,,,,
Ghana,GHA,AFRO,REPORTING,2023-07-02,25624828,13864186,82.467,44.618,10780003,34.693,,2021-03-02,2,4806017,15.467
Iraq,IRQ,EMRO,REPORTING,2023-01-02,19557364,11332925,48.623,28.176,7944775,19.752,,2021-03-02,10,275280,0.684
Isle of Man,IMN,EURO,OWID,2022-06-23,189994,69560,223.438,81.804,67106,78.919,,,3,53328,62.715
Jamaica,JAM,AMRO,REPORTING,2023-06-02,1525895,858035,51.53,28.976,758800,25.625,,2021-03-10,6,45995,1.553
Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104,26681,183.5,68.86,26346,67.995,,2021-01-06,3,18310,47.255
Mali,MLI,AFRO,REPORTING,2023-05-14,5922585,4354292,29.246,21.502,3633589,17.943,,2021-03-31,1,,
Martinique,MTQ,AMRO,REPORTING,2023-06-02,401816,150795,107.075,40.184,145536,38.782,,,2,92919,24.761
Mexico,MEX,AMRO,REPORTING,2023-06-02,222226293,96727823,172.358,75.022,81346379,63.092,,2020-12-24,8,57014052,44.22
Monaco,MCO,EURO,REPORTING,2022-12-04,71027,25319,181,69.015,24933,67.963,,2021-06-30,7,17806,48.536
Montenegro,MNE,EURO,REPORTING,2022-12-04,523735,272152,83.4,43.346,251583,40.07,,2021-02-24,5,0,0
Morocco,MAR,EMRO,REPORTING,2023-05-14,55389602,25020168,150.064,67.786,23521989,63.727,,2021-01-28,10,6884356,18.651
Mozambique,MOZ,AFRO,REPORTING,2023-07-02,34950858,22869646,111.823,73.17,21329745,68.243,,2021-03-08,3,2323562,7.434
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2023-05-30,123536,46824,214.632,81.352,45953,79.839,,2020-12-19,3,26121,45.383
Norway,NOR,EURO,REPORTING,2023-06-11,12336663,4347197,229.8,80.129,4062204,74.876,,2020-12-30,4,3020810,55.68
Panama,PAN,AMRO,REPORTING,2023-06-02,8901881,3533579,206.312,81.895,3174229,73.567,,2021-01-20,2,1769698,41.015
Peru,PER,AMRO,REPORTING,2023-06-02,89593907,30487563,271.728,92.465,28654963,86.907,,2021-02-09,4,22143074,67.158
Poland,POL,EURO,REPORTING,2023-09-03,58236122,22984218,153.4,61.04,22705526,60.3,,2020-12-23,5,12534090,33.287
Puerto Rico,PRI,AMRO,REPORTING,2023-06-02,7846764,2905470,274.281,101.56,2688410,93.972,,,4,1808780,63.225
Sao Tome and Principe,STP,AFRO,REPORTING,2023-07-30,263863,140256,120.398,63.997,111986,51.098,,2021-03-15,2,34624,15.799
Suriname,SUR,AMRO,REPORTING,2023-06-02,554588,267820,94.538,45.654,237879,40.55,,2021-02-23,5,48889,8.334
Azerbaijan,AZE,EURO,REPORTING,2023-08-27,13828052,5436179,136.4,52.712,4888059,47.397,,2021-01-20,5,3503816,33.975
Belgium,BEL,EURO,REPORTING,2023-09-03,29120974,9255132,252.7,79.665,9158814,78.836,,2020-12-30,5,7245372,62.365
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426,699116,260.68,90.605,677669,87.826,,2021-03-27,5,634641,82.249
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,,28.842,846080,25.867,,,4,,
China,CHN,WPRO,REPORTING,2023-04-20,3516880717,1318026807,239.034,89.583,1284479582,87.303,,2020-07-22,8,834060133,56.689
